Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,212855.00,21902.89,141500.00,67,0,59,0,56,0,33,0,2,0.7176122527539186,288
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,690795.49,98854.86,423750.00,394,0,258,0,293,0,191,0,13,0.7099885224652671,1740
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,7918819.53,512839.98,1217750.00,1384,0,343,0,2510,0,558,0,36,0.7669917610740657,5172
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,18767.25,2329820.38,9735900.00,866,173,0,399,0,1038,0,649,81,0.7829691710126288,5832
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,1322101.71,821308.65,10062000.00,1082,0,421,0,971,0,662,0,81,0.8339230708083474,5616
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,24879.64,2773204.25,10906000.00,858,175,0,414,0,997,0,632,85,0.7750154123983581,5868
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,17926.91,2243952.16,10560000.00,833,165,0,415,0,965,0,605,80,0.8103264068931254,5340
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,7872.47,2265608.74,11862900.00,851,180,0,444,0,908,0,659,81,0.7881801751796117,5808
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,14329.75,1383785.24,9684400.00,398,354,0,340,0,621,0,517,77,0.8320039195545289,4476
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,21476324.42,0.00,0,3735,0,1182,0,4691,0,995,10,1.6255789835790986,4560
